1918 408 341
155 165 -1 1
153 165 -1 1
162 164 -1 1
160 164 -1 1
158 164 -1 1
157 164 -1 1
156 164 -1 1
155 164 -1 1
154 164 -1 1
153 164 -1 1
152 164 -1 1
151 164 -1 1
150 164 -1 1
176 163 -1 1
175 163 -1 1
174 163 -1 1
173 163 -1 1
172 163 -1 1
171 163 -1 1
170 163 -1 1
169 163 -1 1
167 163 -1 1
166 163 -1 1
165 163 -1 1
164 163 -1 1
163 163 -1 1
162 163 -1 1
161 163 -1 1
160 163 -1 1
159 163 -1 1
158 163 -1 1
157 163 -1 1
156 163 -1 1
155 163 -1 1
154 163 -1 1
153 163 -1 1
152 163 -1 1
151 163 -1 1
150 163 -1 1
149 163 -1 1
179 162 -1 1
178 162 -1 1
177 162 -1 1
176 162 -1 1
175 162 -1 1
174 162 -1 1
173 162 -1 1
172 162 -1 1
171 162 -1 1
170 162 -1 1
169 162 -1 1
168 162 -1 1
167 162 -1 1
166 162 -1 1
165 162 -1 1
164 162 -1 1
163 162 -1 1
162 162 -1 1
161 162 -1 1
160 162 -1 1
159 162 -1 1
158 162 -1 1
157 162 -1 1
156 162 -1 1
155 162 -1 1
154 162 -1 1
153 162 -1 1
152 162 -1 1
151 162 -1 1
150 162 -1 1
149 162 -1 1
197 161 -1 1
196 161 -1 1
195 161 -1 1
194 161 -1 1
193 161 -1 1
192 161 -1 1
191 161 -1 1
190 161 -1 1
189 161 -1 1
188 161 -1 1
187 161 -1 1
186 161 -1 1
185 161 -1 1
184 161 -1 1
183 161 -1 1
182 161 -1 1
181 161 -1 1
180 161 -1 1
179 161 -1 1
178 161 -1 1
177 161 -1 1
176 161 -1 1
175 161 -1 1
174 161 -1 1
173 161 -1 1
172 161 -1 1
171 161 -1 1
170 161 -1 1
169 161 -1 1
168 161 -1 1
167 161 -1 1
166 161 -1 1
165 161 -1 1
164 161 -1 1
163 161 -1 1
162 161 -1 1
161 161 -1 1
160 161 -1 1
159 161 -1 1
158 161 -1 1
157 161 -1 1
156 161 -1 1
155 161 -1 1
154 161 -1 1
153 161 -1 1
152 161 -1 1
151 161 -1 1
150 161 -1 1
149 161 -1 1
200 160 -1 1
199 160 -1 1
198 160 -1 1
197 160 -1 1
196 160 -1 1
195 160 -1 1
194 160 -1 1
193 160 -1 1
192 160 -1 1
191 160 -1 1
190 160 -1 1
189 160 -1 1
188 160 -1 1
187 160 -1 1
186 160 -1 1
185 160 -1 1
184 160 -1 1
183 160 -1 1
182 160 -1 1
181 160 -1 1
180 160 -1 1
179 160 -1 1
178 160 -1 1
177 160 -1 1
176 160 -1 1
175 160 -1 1
174 160 -1 1
173 160 -1 1
172 160 -1 1
171 160 -1 1
170 160 -1 1
169 160 -1 1
168 160 -1 1
167 160 -1 1
166 160 -1 1
165 160 -1 1
164 160 -1 1
163 160 -1 1
162 160 -1 1
161 160 -1 1
160 160 -1 1
159 160 -1 1
158 160 -1 1
157 160 -1 1
156 160 -1 1
155 160 -1 1
154 160 -1 1
153 160 -1 1
152 160 -1 1
151 160 -1 1
150 160 -1 1
149 160 -1 1
148 160 -1 1
201 159 -1 1
200 159 -1 1
199 159 -1 1
198 159 -1 1
197 159 -1 1
196 159 -1 1
195 159 -1 1
194 159 -1 1
193 159 -1 1
192 159 -1 1
191 159 -1 1
190 159 -1 1
189 159 -1 1
188 159 -1 1
187 159 -1 1
186 159 -1 1
185 159 -1 1
184 159 -1 1
183 159 -1 1
182 159 -1 1
181 159 -1 1
180 159 -1 1
179 159 -1 1
178 159 -1 1
177 159 -1 1
176 159 -1 1
175 159 -1 1
174 159 -1 1
173 159 -1 1
172 159 -1 1
171 159 -1 1
170 159 -1 1
169 159 -1 1
168 159 -1 1
167 159 -1 1
166 159 -1 1
165 159 -1 1
164 159 -1 1
163 159 -1 1
162 159 -1 1
161 159 -1 1
160 159 -1 1
159 159 -1 1
158 159 -1 1
157 159 -1 1
156 159 -1 1
155 159 -1 1
154 159 -1 1
153 159 -1 1
152 159 -1 1
151 159 -1 1
150 159 -1 1
149 159 -1 1
201 158 -1 1
200 158 -1 1
199 158 -1 1
198 158 -1 1
197 158 -1 1
196 158 -1 1
195 158 -1 1
194 158 -1 1
193 158 -1 1
192 158 -1 1
191 158 -1 1
190 158 -1 1
189 158 -1 1
188 158 -1 1
187 158 -1 1
186 158 -1 1
185 158 -1 1
184 158 -1 1
183 158 -1 1
182 158 -1 1
181 158 -1 1
180 158 -1 1
179 158 -1 1
178 158 -1 1
177 158 -1 1
176 158 -1 1
175 158 -1 1
174 158 -1 1
173 158 -1 1
172 158 -1 1
171 158 -1 1
170 158 -1 1
169 158 -1 1
168 158 -1 1
167 158 -1 1
166 158 -1 1
165 158 -1 1
164 158 -1 1
163 158 -1 1
162 158 -1 1
161 158 -1 1
160 158 -1 1
159 158 -1 1
158 158 -1 1
157 158 -1 1
156 158 -1 1
155 158 -1 1
154 158 -1 1
153 158 -1 1
152 158 -1 1
151 158 -1 1
150 158 -1 1
149 158 -1 1
201 157 -1 1
200 157 -1 1
199 157 -1 1
198 157 -1 1
197 157 -1 1
196 157 -1 1
195 157 -1 1
194 157 -1 1
193 157 -1 1
192 157 -1 1
191 157 -1 1
190 157 -1 1
189 157 -1 1
188 157 -1 1
187 157 -1 1
186 157 -1 1
185 157 -1 1
184 157 -1 1
183 157 -1 1
182 157 -1 1
181 157 -1 1
180 157 -1 1
179 157 -1 1
178 157 -1 1
177 157 -1 1
176 157 -1 1
175 157 -1 1
174 157 -1 1
173 157 -1 1
172 157 -1 1
171 157 -1 1
170 157 -1 1
169 157 -1 1
168 157 -1 1
167 157 -1 1
166 157 -1 1
165 157 -1 1
164 157 -1 1
163 157 -1 1
162 157 -1 1
161 157 -1 1
160 157 -1 1
159 157 -1 1
158 157 -1 1
157 157 -1 1
156 157 -1 1
155 157 -1 1
154 157 -1 1
153 157 -1 1
152 157 -1 1
151 157 -1 1
150 157 -1 1
149 157 -1 1
202 156 -1 1
201 156 -1 1
200 156 -1 1
199 156 -1 1
198 156 -1 1
197 156 -1 1
196 156 -1 1
195 156 -1 1
194 156 -1 1
193 156 -1 1
192 156 -1 1
191 156 -1 1
190 156 -1 1
189 156 -1 1
188 156 -1 1
187 156 -1 1
186 156 -1 1
185 156 -1 1
184 156 -1 1
183 156 -1 1
182 156 -1 1
181 156 -1 1
180 156 -1 1
179 156 -1 1
178 156 -1 1
177 156 -1 1
176 156 -1 1
175 156 -1 1
174 156 -1 1
173 156 -1 1
