497 408 341
368 105 -1 0
371 104 -1 0
370 104 -1 0
369 104 -1 0
368 104 -1 0
367 104 -1 0
366 104 -1 0
365 104 -1 0
372 103 -1 0
371 103 -1 0
370 103 -1 0
369 103 -1 0
368 103 -1 0
367 103 -1 0
366 103 -1 0
365 103 -1 0
364 103 -1 0
372 102 -1 0
371 102 -1 0
370 102 -1 0
369 102 -1 0
368 102 -1 0
367 102 -1 0
366 102 -1 0
365 102 -1 0
364 102 -1 0
372 101 -1 0
371 101 -1 0
370 101 -1 0
369 101 -1 0
368 101 -1 0
367 101 -1 0
366 101 -1 0
365 101 -1 0
364 101 -1 0
327 101 -1 1
373 100 -1 0
372 100 -1 0
371 100 -1 0
370 100 -1 0
369 100 -1 0
368 100 -1 0
367 100 -1 0
366 100 -1 0
365 100 -1 0
364 100 -1 0
363 100 -1 0
330 100 -1 1
329 100 -1 1
328 100 -1 1
327 100 -1 1
326 100 -1 1
325 100 -1 1
324 100 -1 1
372 99 -1 0
371 99 -1 0
370 99 -1 0
369 99 -1 0
368 99 -1 0
367 99 -1 0
366 99 -1 0
365 99 -1 0
364 99 -1 0
331 99 -1 1
330 99 -1 1
329 99 -1 1
328 99 -1 1
327 99 -1 1
326 99 -1 1
325 99 -1 1
324 99 -1 1
323 99 -1 1
372 98 -1 0
371 98 -1 0
370 98 -1 0
369 98 -1 0
368 98 -1 0
367 98 -1 0
366 98 -1 0
365 98 -1 0
364 98 -1 0
331 98 -1 1
330 98 -1 1
329 98 -1 1
328 98 -1 1
327 98 -1 1
326 98 -1 1
325 98 -1 1
324 98 -1 1
323 98 -1 1
372 97 -1 0
371 97 -1 0
370 97 -1 0
369 97 -1 0
368 97 -1 0
367 97 -1 0
366 97 -1 0
365 97 -1 0
364 97 -1 0
331 97 -1 1
330 97 -1 1
329 97 -1 1
328 97 -1 1
327 97 -1 1
326 97 -1 1
325 97 -1 1
324 97 -1 1
323 97 -1 1
371 96 -1 0
370 96 -1 0
369 96 -1 0
368 96 -1 0
367 96 -1 0
366 96 -1 0
365 96 -1 0
332 96 -1 1
331 96 -1 1
330 96 -1 1
329 96 -1 1
328 96 -1 1
327 96 -1 1
326 96 -1 1
325 96 -1 1
324 96 -1 1
323 96 -1 1
322 96 -1 1
368 95 -1 0
331 95 -1 1
330 95 -1 1
329 95 -1 1
328 95 -1 1
327 95 -1 1
326 95 -1 1
325 95 -1 1
324 95 -1 1
323 95 -1 1
331 94 -1 1
330 94 -1 1
329 94 -1 1
328 94 -1 1
327 94 -1 1
326 94 -1 1
325 94 -1 1
324 94 -1 1
323 94 -1 1
331 93 -1 1
330 93 -1 1
329 93 -1 1
328 93 -1 1
327 93 -1 1
326 93 -1 1
325 93 -1 1
324 93 -1 1
323 93 -1 1
330 92 -1 1
329 92 -1 1
328 92 -1 1
327 92 -1 1
326 92 -1 1
325 92 -1 1
324 92 -1 1
327 91 -1 1
308 91 -1 1
311 90 -1 1
310 90 -1 1
309 90 -1 1
308 90 -1 1
307 90 -1 1
306 90 -1 1
305 90 -1 1
312 89 -1 1
311 89 -1 1
310 89 -1 1
309 89 -1 1
308 89 -1 1
307 89 -1 1
306 89 -1 1
305 89 -1 1
304 89 -1 1
312 88 -1 1
311 88 -1 1
310 88 -1 1
309 88 -1 1
308 88 -1 1
307 88 -1 1
306 88 -1 1
305 88 -1 1
304 88 -1 1
312 87 -1 1
311 87 -1 1
310 87 -1 1
309 87 -1 1
308 87 -1 1
307 87 -1 1
306 87 -1 1
305 87 -1 1
304 87 -1 1
313 86 -1 1
312 86 -1 1
311 86 -1 1
310 86 -1 1
309 86 -1 1
308 86 -1 1
307 86 -1 1
306 86 -1 1
305 86 -1 1
304 86 -1 1
303 86 -1 1
313 85 -1 1
312 85 -1 1
311 85 -1 1
310 85 -1 1
309 85 -1 1
308 85 -1 1
307 85 -1 1
306 85 -1 1
305 85 -1 1
304 85 -1 1
303 85 -1 1
312 84 -1 1
311 84 -1 1
310 84 -1 1
309 84 -1 1
308 84 -1 1
307 84 -1 1
306 84 -1 1
305 84 -1 1
304 84 -1 1
312 83 -1 1
311 83 -1 1
310 83 -1 1
309 83 -1 1
308 83 -1 1
307 83 -1 1
306 83 -1 1
305 83 -1 1
304 83 -1 1
312 82 -1 1
311 82 -1 1
310 82 -1 1
309 82 -1 1
308 82 -1 1
307 82 -1 1
306 82 -1 1
305 82 -1 1
304 82 -1 1
311 81 -1 1
310 81 -1 1
309 81 -1 1
308 81 -1 1
307 81 -1 1
306 81 -1 1
305 81 -1 1
308 80 -1 1
238 74 -1 0
281 73 -1 1
241 73 -1 0
240 73 -1 0
239 73 -1 0
238 73 -1 0
237 73 -1 0
236 73 -1 0
235 73 -1 0
284 72 -1 1
283 72 -1 1
282 72 -1 1
281 72 -1 1
280 72 -1 1
279 72 -1 1
278 72 -1 1
242 72 -1 0
241 72 -1 0
240 72 -1 0
239 72 -1 0
238 72 -1 0
237 72 -1 0
236 72 -1 0
235 72 -1 0
234 72 -1 0
285 71 -1 1
284 71 -1 1
283 71 -1 1
282 71 -1 1
281 71 -1 1
280 71 -1 1
279 71 -1 1
278 71 -1 1
277 71 -1 1
242 71 -1 0
241 71 -1 0
240 71 -1 0
239 71 -1 0
238 71 -1 0
237 71 -1 0
236 71 -1 0
235 71 -1 0
234 71 -1 0
285 70 -1 1
284 70 -1 1
283 70 -1 1
282 70 -1 1
281 70 -1 1
280 70 -1 1
279 70 -1 1
278 70 -1 1
277 70 -1 1
242 70 -1 0
241 70 -1 0
240 70 -1 0
239 70 -1 0
238 70 -1 0
237 70 -1 0
236 70 -1 0
235 70 -1 0
234 70 -1 0
285 69 -1 1
284 69 -1 1
283 69 -1 1
282 69 -1 1
281 69 -1 1
280 69 -1 1
279 69 -1 1
278 69 -1 1
277 69 -1 1
243 69 -1 0
242 69 -1 0
241 69 -1 0
240 69 -1 0
239 69 -1 0
238 69 -1 0
237 69 -1 0
236 69 -1 0
235 69 -1 0
234 69 -1 0
233 69 -1 0
286 68 -1 1
285 68 -1 1
284 68 -1 1
283 68 -1 1
282 68 -1 1
281 68 -1 1
280 68 -1 1
279 68 -1 1
278 68 -1 1
277 68 -1 1
276 68 -1 1
242 68 -1 0
241 68 -1 0
240 68 -1 0
239 68 -1 0
238 68 -1 0
237 68 -1 0
236 68 -1 0
235 68 -1 0
234 68 -1 0
285 67 -1 1
284 67 -1 1
283 67 -1 1
282 67 -1 1
281 67 -1 1
280 67 -1 1
279 67 -1 1
278 67 -1 1
277 67 -1 1
242 67 -1 0
241 67 -1 0
240 67 -1 0
239 67 -1 0
238 67 -1 0
237 67 -1 0
236 67 -1 0
235 67 -1 0
234 67 -1 0
285 66 -1 1
284 66 -1 1
283 66 -1 1
282 66 -1 1
281 66 -1 1
280 66 -1 1
279 66 -1 1
278 66 -1 1
277 66 -1 1
242 66 -1 0
241 66 -1 0
240 66 -1 0
239 66 -1 0
238 66 -1 0
237 66 -1 0
236 66 -1 0
235 66 -1 0
234 66 -1 0
285 65 -1 1
284 65 -1 1
283 65 -1 1
282 65 -1 1
281 65 -1 1
280 65 -1 1
279 65 -1 1
278 65 -1 1
277 65 -1 1
241 65 -1 0
240 65 -1 0
239 65 -1 0
238 65 -1 0
237 65 -1 0
236 65 -1 0
235 65 -1 0
284 64 -1 1
283 64 -1 1
282 64 -1 1
281 64 -1 1
280 64 -1 1
279 64 -1 1
278 64 -1 1
238 64 -1 0
281 63 -1 1
323 36 -1 0
326 35 -1 0
325 35 -1 0
324 35 -1 0
323 35 -1 0
322 35 -1 0
321 35 -1 0
320 35 -1 0
327 34 -1 0
326 34 -1 0
325 34 -1 0
324 34 -1 0
323 34 -1 0
322 34 -1 0
321 34 -1 0
320 34 -1 0
319 34 -1 0
327 33 -1 0
326 33 -1 0
325 33 -1 0
324 33 -1 0
323 33 -1 0
322 33 -1 0
321 33 -1 0
320 33 -1 0
319 33 -1 0
327 32 -1 0
326 32 -1 0
325 32 -1 0
324 32 -1 0
323 32 -1 0
322 32 -1 0
321 32 -1 0
320 32 -1 0
319 32 -1 0
328 31 -1 0
327 31 -1 0
326 31 -1 0
325 31 -1 0
324 31 -1 0
323 31 -1 0
322 31 -1 0
321 31 -1 0
320 31 -1 0
319 31 -1 0
318 31 -1 0
327 30 -1 0
326 30 -1 0
325 30 -1 0
324 30 -1 0
323 30 -1 0
322 30 -1 0
